Samples	SBS96A	SBS96B
PD4199a	2.54E+00	2.54E+00
PD4005a	2.91E+00	2.91E+00
PD3851a	1.08E+00	1.08E+00
PD4116a	3.71E+00	3.71E+00
PD4086a	1.37E+00	1.37E+00
PD4194a	1.15E+00	1.15E+00
PD4248a	1.44E+00	1.44E+00
PD4120a	2.13E+00	2.13E+00
PD4198a	2.33E+00	2.33E+00
PD3904a	2.75E+00	2.75E+00
PD3945a	4.70E+00	4.70E+00
PD4107a	4.50E+00	4.50E+00
PD3905a	2.39E+00	2.39E+00
PD4192a	2.09E+00	2.09E+00
PD4109a	4.45E+00	4.45E+00
PD4103a	2.74E+00	2.74E+00
PD4115a	4.52E+00	4.52E+00
PD4085a	1.35E+00	1.35E+00
PD3890a	2.95E+00	2.95E+00
PD4006a	4.13E+00	4.13E+00
PD4088a	1.16E+00	1.16E+00
