NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	1171.455	23.781	188.721	26.17	0.054	0.899	40000.0
2	1157.545	23.617	185.956	26.054	0.054	0.9	20000.0
3	1171.453	23.728	183.766	26.03	0.055	0.898	20000.0
4	1161.057	23.535	187.371	26.195	0.055	0.899	20000.0
5	1163.893	23.713	186.589	26.145	0.054	0.9	30000.0
6	1172.076	23.77	190.213	26.298	0.054	0.901	20000.0
7	1165.353	23.891	187.045	26.377	0.055	0.898	30000.0
8	1164.748	23.838	186.907	26.239	0.055	0.9	20000.0
9	1151.902	23.337	184.857	25.862	0.053	0.901	20000.0
10	1211.56	24.463	192.211	26.742	0.056	0.895	40000.0
11	1160.615	23.743	182.33	25.665	0.054	0.902	20000.0
12	1168.652	23.778	185.405	25.935	0.053	0.9	30000.0
13	1168.956	23.739	184.564	26.057	0.053	0.9	20000.0
14	1189.857	24.368	194.609	27.069	0.057	0.893	30000.0
15	1181.972	24.097	188.745	26.341	0.054	0.9	20000.0
16	1143.833	23.487	184.393	25.903	0.053	0.901	20000.0
17	1165.017	23.48	183.144	25.782	0.052	0.898	20000.0
18	1137.887	23.265	181.975	25.83	0.054	0.899	50000.0
19	1165.746	23.172	186.986	25.626	0.051	0.905	30000.0
20	1151.252	23.491	187.288	26.406	0.054	0.896	20000.0
21	1160.044	23.589	187.854	26.15	0.055	0.9	20000.0
22	1193.158	24.054	187.61	26.128	0.055	0.899	20000.0
23	1165.947	23.47	185.15	25.905	0.052	0.901	40000.0
24	1158.217	23.799	188.075	26.084	0.054	0.902	30000.0
25	1195.655	24.24	190.495	26.513	0.056	0.896	40000.0
26	1167.505	23.597	187.88	26.205	0.054	0.898	30000.0
27	1160.229	23.443	188.339	26.267	0.054	0.899	30000.0
28	1175.857	23.8	185.663	25.983	0.053	0.901	40000.0
29	1174.094	23.866	186.461	26.309	0.054	0.899	50000.0
30	1156.537	23.588	184.798	26.067	0.054	0.899	30000.0
31	1158.204	23.558	188.307	26.087	0.053	0.9	20000.0
32	1184.065	23.762	186.099	26.142	0.054	0.897	20000.0
33	1173.84	23.55	188.525	26.401	0.054	0.897	20000.0
34	1178.32	24.076	187.663	26.35	0.056	0.897	40000.0
35	1179.64	23.6	187.242	26.103	0.053	0.898	30000.0
36	1172.029	23.997	186.921	26.223	0.055	0.9	20000.0
37	1188.673	24.125	187.166	26.147	0.055	0.9	40000.0
38	1181.051	23.952	187.855	25.996	0.054	0.902	20000.0
39	1166.14	23.765	187.343	26.024	0.054	0.901	20000.0
40	1168.313	23.49	186.709	25.786	0.054	0.903	20000.0
41	1167.327	23.763	189.736	26.396	0.054	0.898	30000.0
42	1184.449	24.02	191.413	26.67	0.055	0.897	20000.0
43	1164.461	23.672	187.054	26.066	0.054	0.901	30000.0
44	1171.198	23.756	188.346	26.221	0.054	0.901	20000.0
45	1158.648	23.413	184.729	25.692	0.052	0.903	20000.0
46	1181.668	23.735	187.304	25.988	0.054	0.901	40000.0
47	1151.357	23.455	183.329	25.953	0.053	0.9	20000.0
48	1154.727	23.734	183.696	26.123	0.054	0.9	20000.0
49	1172.433	23.728	188.245	26.093	0.053	0.899	20000.0
50	1180.174	24.033	189.969	26.684	0.056	0.897	30000.0
51	1165.219	23.83	187.365	26.118	0.055	0.902	40000.0
52	1177.289	23.994	185.908	26.06	0.055	0.9	20000.0
53	1188.434	24.008	188.185	26.547	0.055	0.894	50000.0
54	1175.898	24.168	185.952	26.357	0.055	0.895	40000.0
55	1162.301	23.908	188.014	26.65	0.055	0.895	20000.0
56	1137.34	23.036	178.693	25.195	0.052	0.904	40000.0
57	1171.905	23.638	189.952	26.519	0.054	0.897	30000.0
58	1188.605	24.145	188.235	26.36	0.056	0.898	20000.0
59	1152.687	23.15	187.897	25.931	0.053	0.899	20000.0
60	1176.915	23.935	188.393	26.498	0.055	0.899	20000.0
61	1162.062	23.431	188.864	26.158	0.053	0.899	30000.0
62	1152.31	23.238	188.099	25.784	0.051	0.903	30000.0
63	1174.768	23.845	189.724	26.414	0.055	0.898	30000.0
64	1169.948	23.798	187.294	26.186	0.055	0.899	20000.0
65	1144.622	23.256	183.434	25.859	0.053	0.901	20000.0
66	1172.919	23.808	189.914	26.458	0.054	0.899	20000.0
67	1158.709	23.592	184.778	26.153	0.053	0.898	20000.0
68	1171.061	23.869	188.102	26.265	0.054	0.899	40000.0
69	1166.576	23.633	187.02	25.902	0.053	0.902	20000.0
70	1177.936	23.984	190.158	26.576	0.055	0.896	20000.0
71	1162.053	23.577	186.219	26.056	0.053	0.898	20000.0
72	1153.704	23.818	183.227	26.113	0.055	0.9	20000.0
73	1161.865	23.644	186.379	26.009	0.055	0.9	30000.0
74	1170.693	23.659	185.834	25.77	0.053	0.902	30000.0
75	1169.699	23.681	184.171	25.935	0.054	0.901	20000.0
76	1198.065	24.441	191.453	27.045	0.056	0.893	30000.0
77	1164.195	23.713	182.739	25.773	0.053	0.901	30000.0
78	1169.142	23.933	189.737	26.494	0.055	0.896	30000.0
79	1167.513	23.922	189.725	26.578	0.057	0.896	20000.0
80	1164.996	23.887	190.947	26.733	0.055	0.893	30000.0
81	1174.722	23.832	185.368	26.176	0.054	0.898	20000.0
82	1173.081	24.096	185.311	26.327	0.056	0.897	20000.0
83	1165.735	23.663	187.527	26.16	0.053	0.898	20000.0
84	1185.611	23.845	187.537	26.131	0.055	0.898	30000.0
85	1147.917	23.23	181.45	25.443	0.053	0.905	20000.0
86	1167.499	23.715	187.256	26.251	0.054	0.9	30000.0
