Samples	SBS96A	SBS96B	SBS96C
PD4199a	4.10E+00	6.38E+00	6.21E+00
PD4005a	3.72E+00	7.58E+00	8.83E+00
PD3851a	1.12E+00	5.74E+00	5.34E+00
PD4116a	6.67E+00	1.16E+01	1.59E+01
PD4086a	1.45E+00	4.47E+00	4.52E+00
PD4194a	1.40E+00	4.31E+00	3.90E+00
PD4248a	1.37E+00	6.98E+00	6.91E+00
PD4120a	3.36E+01	2.27E+01	3.44E+01
PD4198a	2.87E+00	1.25E+01	1.14E+01
PD3904a	3.47E+00	9.81E+00	1.16E+01
PD3945a	7.50E+00	1.70E+01	2.22E+01
PD4107a	6.81E+00	1.78E+01	2.22E+01
PD3905a	3.38E+00	7.29E+00	9.08E+00
PD4192a	2.18E+00	7.49E+00	8.02E+00
PD4109a	4.43E+00	2.09E+01	2.01E+01
PD4103a	3.94E+00	1.49E+01	1.31E+01
PD4115a	6.73E+00	1.75E+01	2.20E+01
PD4085a	1.72E+00	8.72E+00	7.87E+00
PD3890a	4.60E+00	9.29E+00	1.20E+01
PD4006a	7.41E+00	1.49E+01	2.02E+01
PD4088a	1.51E+00	5.61E+00	4.99E+00
