Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
PD4199a	4842	380	19	283	0	33	0	75	0	1300
PD4005a	1573	582	27	494	1144	51	2233	0	0	0
PD3851a	16	0	88	243	0	279	0	412	25	719
PD4116a	583	4321	393	0	1451	871	0	0	407	0
PD4086a	467	87	407	0	515	0	0	0	188	535
PD4194a	229	69	0	0	113	0	0	118	0	955
PD4248a	70	388	327	0	145	0	0	532	602	472
PD4120a	67592	362	0	450	1523	257	0	0	506	0
PD4198a	471	258	0	1100	0	116	0	0	2480	127
PD3904a	429	2453	0	372	584	0	0	1770	0	0
PD3945a	370	3118	2901	399	0	0	2734	0	786	0
PD4107a	588	1677	995	630	0	3553	96	2752	0	0
PD3905a	401	239	1050	0	197	793	1487	0	0	420
PD4192a	410	0	0	0	942	1076	0	0	435	1056
PD4109a	621	0	0	2736	2977	0	258	1203	2093	0
PD4103a	819	0	0	2484	224	0	0	1308	267	258
PD4115a	196	1666	5574	1250	725	209	0	34	209	91
PD4085a	0	354	256	822	38	0	0	184	549	470
PD3890a	205	0	1722	0	1951	571	0	1486	143	46
PD4006a	0	1758	135	419	0	3758	3112	0	0	12
PD4088a	89	9	0	1518	50	39	0	0	0	0
