Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
PD4199a	6.46E+00	1.07E+01	6.02E+00	1.92E+01	7.77E+00	4.30E+00	1.20E+01	1.33E+01	9.03E+00	1.95E+01
PD4005a	8.15E+00	2.23E+01	2.00E+01	1.69E+01	2.01E+01	1.32E+01	2.74E+01	1.66E+01	3.72E+00	1.00E+01
PD3851a	1.24E+00	5.79E+00	6.69E+00	1.09E+01	1.91E+00	6.48E+00	3.74E+00	8.17E+00	7.22E+00	9.73E+00
PD4116a	1.04E+01	4.47E+01	3.97E+01	1.10E+01	2.63E+01	3.09E+01	4.59E+01	3.14E+01	2.45E+01	1.38E+01
PD4086a	3.22E+00	7.11E+00	8.20E+00	7.64E+00	8.77E+00	3.16E+00	1.04E+01	7.02E+00	6.94E+00	8.86E+00
PD4194a	3.23E+00	6.26E+00	2.05E+00	9.09E+00	5.39E+00	1.81E+00	7.53E+00	7.87E+00	6.05E+00	1.02E+01
PD4248a	3.37E+00	1.31E+01	1.25E+01	1.16E+01	6.53E+00	6.33E+00	1.03E+01	1.43E+01	1.26E+01	1.10E+01
PD4120a	2.73E+01	1.57E+01	1.49E+01	2.34E+01	3.21E+01	1.48E+01	2.76E+01	2.70E+01	2.09E+01	2.29E+01
PD4198a	7.25E+00	1.92E+01	1.50E+01	3.08E+01	3.29E+00	1.02E+01	1.35E+01	2.38E+01	2.62E+01	2.42E+01
PD3904a	9.43E+00	3.22E+01	2.19E+01	2.02E+01	1.52E+01	2.25E+01	2.81E+01	3.10E+01	1.32E+01	1.57E+01
PD3945a	9.96E+00	7.86E+01	7.61E+01	3.36E+01	3.07E+01	3.13E+01	7.39E+01	4.78E+01	4.17E+01	1.36E+01
PD4107a	1.14E+01	6.49E+01	5.45E+01	3.49E+01	8.60E+00	4.84E+01	3.88E+01	4.87E+01	2.46E+01	2.13E+01
PD3905a	4.52E+00	1.97E+01	1.79E+01	1.08E+01	1.26E+01	1.21E+01	1.94E+01	1.28E+01	1.05E+01	9.40E+00
PD4192a	6.55E+00	6.79E+00	1.35E+01	1.22E+01	1.82E+01	2.22E+01	2.02E+01	1.27E+01	1.68E+01	2.04E+01
PD4109a	1.82E+01	3.09E+01	2.29E+01	5.94E+01	4.60E+01	1.94E+01	6.34E+01	4.50E+01	4.94E+01	3.68E+01
PD4103a	8.18E+00	1.56E+01	1.77E+01	3.69E+01	1.03E+01	2.50E+00	1.69E+01	3.45E+01	2.22E+01	3.02E+01
PD4115a	4.03E+00	5.45E+01	4.83E+01	2.90E+01	2.57E+01	3.12E+01	5.03E+01	4.08E+01	2.55E+01	2.04E+01
PD4085a	7.22E-01	1.06E+01	1.00E+01	1.50E+01	2.69E+00	4.74E+00	8.25E+00	1.16E+01	1.22E+01	1.51E+01
PD3890a	8.05E+00	2.69E+01	3.48E+01	1.51E+01	2.82E+01	2.04E+01	3.73E+01	2.60E+01	1.72E+01	1.08E+01
PD4006a	1.49E+00	6.03E+01	4.87E+01	2.38E+01	2.41E+01	4.15E+01	4.73E+01	2.61E+01	1.98E+01	2.24E+01
PD4088a	3.11E+00	6.51E+00	5.77E+00	1.73E+01	4.31E+00	3.14E+00	7.88E+00	7.76E+00	5.15E+00	1.60E+01
