Samples	SBS96A	SBS96B
PD4199a	2.47E+00	2.47E+00
PD4005a	2.58E+00	2.58E+00
PD3851a	1.02E+00	1.02E+00
PD4116a	3.24E+00	3.24E+00
PD4086a	1.43E+00	1.43E+00
PD4194a	1.15E+00	1.15E+00
PD4248a	1.38E+00	1.38E+00
PD4120a	3.03E+00	3.03E+00
PD4198a	2.24E+00	2.24E+00
PD3904a	2.67E+00	2.67E+00
PD3945a	4.13E+00	4.13E+00
PD4107a	3.92E+00	3.92E+00
PD3905a	2.14E+00	2.14E+00
PD4192a	1.88E+00	1.88E+00
PD4109a	4.03E+00	4.03E+00
PD4103a	2.58E+00	2.58E+00
PD4115a	4.16E+00	4.16E+00
PD4085a	1.34E+00	1.34E+00
PD3890a	2.84E+00	2.84E+00
PD4006a	3.73E+00	3.73E+00
PD4088a	1.18E+00	1.18E+00
