Samples	SBS96A	SBS96B	SBS96C
PD4199a	4.09E+00	6.34E+00	6.18E+00
PD4005a	3.71E+00	7.35E+00	8.71E+00
PD3851a	1.16E+00	5.65E+00	5.28E+00
PD4116a	6.52E+00	1.15E+01	1.57E+01
PD4086a	1.43E+00	4.27E+00	4.29E+00
PD4194a	1.37E+00	4.39E+00	4.05E+00
PD4248a	1.40E+00	6.61E+00	6.54E+00
PD4120a	3.29E+01	2.26E+01	3.39E+01
PD4198a	2.94E+00	1.23E+01	1.13E+01
PD3904a	3.39E+00	9.88E+00	1.16E+01
PD3945a	7.47E+00	1.68E+01	2.17E+01
PD4107a	6.78E+00	1.69E+01	2.13E+01
PD3905a	3.25E+00	7.29E+00	9.12E+00
PD4192a	2.04E+00	7.41E+00	7.74E+00
PD4109a	4.46E+00	2.05E+01	1.99E+01
PD4103a	4.22E+00	1.42E+01	1.26E+01
PD4115a	6.35E+00	1.75E+01	2.16E+01
PD4085a	1.62E+00	8.79E+00	8.08E+00
PD3890a	4.50E+00	9.30E+00	1.19E+01
PD4006a	7.23E+00	1.47E+01	1.98E+01
PD4088a	1.51E+00	5.50E+00	4.93E+00
