Samples	SBS96A	SBS96B	SBS96C	SBS96D
PD4199a	4996	351	0	1585
PD4005a	1719	1461	2864	60
PD3851a	40	540	83	1119
PD4116a	640	4844	2542	0
PD4086a	507	327	845	520
PD4194a	224	0	296	964
PD4248a	169	1132	239	996
PD4120a	69708	805	0	177
PD4198a	667	1256	0	2629
PD3904a	686	3421	690	811
PD3945a	379	6902	2348	679
PD4107a	902	7909	191	1289
PD3905a	392	2309	1578	308
PD4192a	481	674	1642	1122
PD4109a	1221	1406	3807	3454
PD4103a	1052	928	179	3201
PD4115a	91	6363	2276	1224
PD4085a	38	826	184	1625
PD3890a	522	2716	2740	146
PD4006a	0	6304	2665	225
PD4088a	99	130	155	1321
