Samples	SBS96A	SBS96B	SBS96C	SBS96D
PD4199a	3.38E+00	1.31E+01	6.20E+00	1.14E+01
PD4005a	4.71E+00	3.34E+01	2.58E+01	1.13E+01
PD3851a	1.15E+00	7.38E+00	3.48E+00	7.52E+00
PD4116a	3.04E+00	5.21E+01	5.05E+01	7.15E+00
PD4086a	2.38E+00	7.90E+00	7.24E+00	4.53E+00
PD4194a	1.66E+00	4.57E+00	4.34E+00	3.99E+00
PD4248a	1.55E+00	6.38E+00	7.38E+00	7.64E+00
PD4120a	2.21E+01	2.41E+01	3.22E+01	2.41E+01
PD4198a	2.94E+00	1.74E+01	8.87E+00	1.75E+01
PD3904a	4.30E+00	1.59E+01	2.79E+01	1.31E+01
PD3945a	5.16E+00	5.19E+01	6.31E+01	1.33E+01
PD4107a	9.73E+00	3.32E+01	6.18E+01	2.80E+01
PD3905a	2.11E+00	2.76E+01	2.50E+01	5.82E+00
PD4192a	3.93E+00	1.83E+01	1.47E+01	8.65E+00
PD4109a	9.07E+00	2.78E+01	2.67E+01	1.61E+01
PD4103a	3.87E+00	2.56E+01	9.30E+00	2.16E+01
PD4115a	3.82E+00	4.56E+01	5.65E+01	1.38E+01
PD4085a	1.51E+00	1.16E+01	4.72E+00	1.13E+01
PD3890a	4.18E+00	4.54E+01	3.42E+01	1.28E+01
PD4006a	1.58E+00	6.03E+01	6.04E+01	8.71E+00
PD4088a	1.69E+00	9.82E+00	4.62E+00	7.99E+00
