Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
PD4199a	4918	0	1300	7	707
PD4005a	1664	1686	289	2465	0
PD3851a	50	195	903	1	633
PD4116a	612	4292	0	1876	1246
PD4086a	492	152	481	683	391
PD4194a	214	0	851	230	189
PD4248a	167	1024	858	125	362
PD4120a	69349	0	0	0	1341
PD4198a	647	1003	2287	0	615
PD3904a	670	3544	736	443	215
PD3945a	323	7544	724	1706	11
PD4107a	868	5678	552	0	3193
PD3905a	388	1634	183	1127	1255
PD4192a	472	0	806	1144	1497
PD4109a	1119	1995	3484	3290	0
PD4103a	1022	1229	2944	165	0
PD4115a	82	5784	964	1497	1627
PD4085a	35	733	1436	103	366
PD3890a	494	2250	156	2127	1097
PD4006a	0	3834	0	1656	3704
PD4088a	87	228	1240	150	0
