Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
PD4199a	4.02E+00	1.32E+01	9.47E+00	5.78E+00	1.22E+01
PD4005a	5.92E+00	3.17E+01	1.24E+01	1.92E+01	2.17E+01
PD3851a	1.49E+00	8.72E+00	6.31E+00	3.60E+00	5.81E+00
PD4116a	5.29E+00	4.62E+01	6.99E+00	3.18E+01	4.22E+01
PD4086a	2.51E+00	9.21E+00	4.78E+00	5.83E+00	8.71E+00
PD4194a	1.86E+00	4.44E+00	4.41E+00	4.31E+00	6.15E+00
PD4248a	1.82E+00	1.13E+01	6.72E+00	5.47E+00	1.06E+01
PD4120a	2.13E+01	2.83E+01	2.34E+01	3.51E+01	2.00E+01
PD4198a	3.54E+00	2.45E+01	1.61E+01	8.12E+00	2.26E+01
PD3904a	5.45E+00	2.71E+01	1.24E+01	2.35E+01	3.38E+01
PD3945a	1.10E+01	5.78E+01	2.14E+01	6.11E+01	6.26E+01
PD4107a	8.68E+00	8.43E+01	2.34E+01	2.90E+01	7.45E+01
PD3905a	2.48E+00	2.19E+01	5.55E+00	1.36E+01	1.81E+01
PD4192a	5.40E+00	8.13E+00	1.34E+01	2.09E+01	2.20E+01
PD4109a	1.06E+01	5.47E+01	2.86E+01	3.16E+01	3.26E+01
PD4103a	4.68E+00	2.18E+01	1.96E+01	1.26E+01	1.98E+01
PD4115a	6.42E+00	5.07E+01	1.50E+01	4.06E+01	5.40E+01
PD4085a	1.61E+00	1.05E+01	8.82E+00	5.10E+00	9.85E+00
PD3890a	4.98E+00	3.44E+01	1.09E+01	2.11E+01	2.63E+01
PD4006a	8.34E-01	6.19E+01	1.39E+01	2.97E+01	5.04E+01
PD4088a	2.04E+00	8.78E+00	7.81E+00	5.55E+00	8.07E+00
