Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
PD4199a	4881	0	1316	55	181	499
PD4005a	1612	1766	588	2138	0	0
PD3851a	52	60	846	0	284	540
PD4116a	575	4069	0	1596	702	1084
PD4086a	460	0	366	605	462	306
PD4194a	209	0	793	186	200	96
PD4248a	124	555	406	165	1155	131
PD4120a	68419	0	0	1125	754	392
PD4198a	579	23	1204	0	2561	185
PD3904a	682	3526	877	337	36	150
PD3945a	241	6405	0	1483	2179	0
PD4107a	902	5561	725	0	333	2770
PD3905a	370	1498	170	953	455	1141
PD4192a	450	0	686	951	547	1285
PD4109a	1003	1139	3127	2876	1743	0
PD4103a	1025	831	2898	127	479	0
PD4115a	47	5165	619	1264	1515	1344
PD4085a	18	376	1174	106	773	226
PD3890a	440	1964	77	1825	793	1025
PD4006a	8	3933	44	1328	155	3726
PD4088a	94	151	1340	106	0	14
