Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
PD4199a	4.39E+00	9.36E+00	1.19E+01	6.54E+00	1.42E+01	8.39E+00
PD4005a	5.13E+00	2.44E+01	1.61E+01	1.42E+01	1.05E+01	1.77E+01
PD3851a	1.50E+00	6.31E+00	8.91E+00	2.58E+00	1.07E+01	5.31E+00
PD4116a	5.29E+00	4.30E+01	5.68E+00	1.82E+01	3.23E+01	3.48E+01
PD4086a	2.31E+00	8.04E+00	7.61E+00	5.18E+00	7.87E+00	7.79E+00
PD4194a	1.90E+00	3.21E+00	9.54E+00	4.01E+00	1.13E+01	5.66E+00
PD4248a	2.60E+00	1.57E+01	1.32E+01	4.60E+00	1.12E+01	8.98E+00
PD4120a	2.60E+01	2.65E+01	2.89E+01	3.54E+01	2.59E+01	1.47E+01
PD4198a	4.38E+00	2.81E+01	3.18E+01	3.78E+00	2.16E+01	1.32E+01
PD3904a	4.82E+00	2.74E+01	1.66E+01	1.48E+01	2.56E+01	2.95E+01
PD3945a	8.93E+00	6.11E+01	2.14E+01	3.69E+01	5.94E+01	4.78E+01
PD4107a	6.06E+00	8.25E+01	3.03E+01	7.78E+00	4.44E+01	6.29E+01
PD3905a	2.71E+00	1.88E+01	6.48E+00	9.02E+00	1.17E+01	1.44E+01
PD4192a	4.99E+00	6.16E+00	1.79E+01	1.69E+01	2.51E+01	2.13E+01
PD4109a	9.18E+00	4.65E+01	3.86E+01	2.52E+01	4.16E+01	1.77E+01
PD4103a	5.46E+00	2.18E+01	2.20E+01	1.22E+01	2.52E+01	4.93E+00
PD4115a	3.87E+00	4.95E+01	1.82E+01	2.14E+01	4.23E+01	4.59E+01
PD4085a	1.45E+00	1.01E+01	1.34E+01	3.62E+00	1.16E+01	6.52E+00
PD3890a	4.46E+00	2.73E+01	1.08E+01	1.47E+01	2.11E+01	2.30E+01
PD4006a	8.58E-01	6.30E+01	1.69E+01	1.67E+01	2.74E+01	3.94E+01
PD4088a	2.69E+00	9.28E+00	9.50E+00	5.94E+00	8.77E+00	4.00E+00
