Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
PD4199a	4885	54	0	384	1394	68	147
PD4005a	1635	2146	0	0	556	1767	0
PD3851a	52	0	275	441	816	3	195
PD4116a	634	4510	0	1243	0	949	690
PD4086a	447	0	221	182	363	610	376
PD4194a	213	0	0	20	849	198	204
PD4248a	82	0	1198	36	149	199	872
PD4120a	68107	183	0	290	15	1267	828
PD4198a	557	125	262	111	1155	0	2342
PD3904a	602	1770	2827	199	0	210	0
PD3945a	378	7847	0	14	196	237	1636
PD4107a	796	1843	4043	3609	0	0	0
PD3905a	354	1161	664	1122	117	838	331
PD4192a	426	0	0	1044	810	1014	625
PD4109a	1057	1980	0	0	2908	2395	1548
PD4103a	998	0	1884	0	2259	116	103
PD4115a	0	3226	3480	1570	0	914	764
PD4085a	25	437	382	109	1096	28	596
PD3890a	362	477	2286	1014	0	1858	127
PD4006a	45	3880	0	3893	324	872	180
PD4088a	117	322	0	0	1247	19	0
