Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
PD4199a	5.13E+00	9.01E+00	1.63E+01	7.83E+00	1.30E+01	8.39E+00	9.97E+00
PD4005a	5.22E+00	2.65E+01	2.14E+01	1.40E+01	1.39E+01	1.65E+01	5.89E+00
PD3851a	1.38E+00	5.48E+00	8.94E+00	5.61E+00	8.60E+00	2.99E+00	9.21E+00
PD4116a	5.87E+00	5.39E+01	5.29E+01	3.40E+01	1.01E+01	1.91E+01	2.83E+01
PD4086a	2.44E+00	8.83E+00	8.00E+00	5.63E+00	7.03E+00	5.78E+00	7.41E+00
PD4194a	2.16E+00	3.95E+00	9.38E+00	4.25E+00	9.48E+00	4.91E+00	9.75E+00
PD4248a	2.75E+00	1.38E+01	1.49E+01	7.65E+00	1.25E+01	6.29E+00	1.15E+01
PD4120a	2.85E+01	2.77E+01	2.69E+01	1.38E+01	2.62E+01	3.56E+01	2.36E+01
PD4198a	5.29E+00	2.35E+01	2.83E+01	1.02E+01	3.13E+01	3.40E+00	2.11E+01
PD3904a	5.47E+00	4.00E+01	3.64E+01	2.67E+01	1.77E+01	1.32E+01	1.68E+01
PD3945a	8.72E+00	7.10E+01	7.15E+01	4.65E+01	1.98E+01	3.51E+01	5.03E+01
PD4107a	6.39E+00	9.16E+01	7.06E+01	5.45E+01	2.70E+01	8.61E+00	3.20E+01
PD3905a	3.03E+00	2.22E+01	2.11E+01	1.30E+01	8.00E+00	8.81E+00	1.17E+01
PD4192a	5.71E+00	1.29E+01	1.73E+01	2.06E+01	2.05E+01	1.71E+01	2.36E+01
PD4109a	1.23E+01	5.76E+01	6.94E+01	1.47E+01	5.82E+01	3.26E+01	4.25E+01
PD4103a	5.67E+00	1.85E+01	3.88E+01	4.40E+00	3.78E+01	8.24E+00	2.13E+01
PD4115a	3.84E+00	6.63E+01	6.33E+01	4.11E+01	2.13E+01	2.03E+01	3.51E+01
PD4085a	1.21E+00	9.05E+00	1.34E+01	5.83E+00	1.46E+01	3.05E+00	1.14E+01
PD3890a	5.74E+00	3.45E+01	3.39E+01	2.12E+01	1.06E+01	1.88E+01	1.97E+01
PD4006a	1.72E+00	6.70E+01	5.39E+01	3.74E+01	1.90E+01	1.79E+01	2.60E+01
PD4088a	2.89E+00	7.84E+00	1.88E+01	4.20E+00	1.66E+01	4.71E+00	5.66E+00
