Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
PD4199a	4900	443	0	8	0	115	0	1466
PD4005a	1604	1561	932	1929	0	0	0	78
PD3851a	46	75	166	0	211	339	145	800
PD4116a	592	3963	0	1400	637	624	802	8
PD4086a	449	18	0	551	361	116	238	466
PD4194a	232	0	0	151	142	0	59	900
PD4248a	113	160	0	55	1038	0	640	530
PD4120a	67855	223	0	1445	0	244	713	210
PD4198a	471	30	765	0	0	141	2341	804
PD3904a	668	2114	1113	52	1499	0	0	162
PD3945a	293	5572	880	1057	936	0	1570	0
PD4107a	766	2902	1751	0	1233	3234	405	0
PD3905a	364	1112	0	843	808	912	154	394
PD4192a	415	0	0	983	0	1128	469	924
PD4109a	752	0	4556	2467	0	0	1990	123
PD4103a	914	0	2665	0	293	0	384	1104
PD4115a	0	2288	1346	773	3674	1289	419	165
PD4085a	3	251	696	0	263	96	561	803
PD3890a	351	0	369	1565	2880	893	66	0
PD4006a	0	3621	439	1229	0	3417	178	310
PD4088a	81	0	1004	0	0	0	0	620
