Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
PD4199a	5.03E+00	1.02E+01	1.71E+01	7.85E+00	9.07E+00	5.64E+00	8.42E+00	1.45E+01
PD4005a	5.53E+00	2.47E+01	2.50E+01	1.55E+01	2.17E+01	1.38E+01	6.42E+00	1.13E+01
PD3851a	1.41E+00	5.60E+00	1.02E+01	2.32E+00	6.92E+00	5.78E+00	7.51E+00	8.18E+00
PD4116a	7.25E+00	3.65E+01	2.45E+01	2.09E+01	3.53E+01	2.63E+01	2.65E+01	1.27E+01
PD4086a	2.57E+00	6.74E+00	8.37E+00	6.99E+00	8.92E+00	4.67E+00	6.82E+00	7.15E+00
PD4194a	2.46E+00	4.66E+00	8.75E+00	5.10E+00	6.48E+00	3.10E+00	6.95E+00	7.93E+00
PD4248a	2.90E+00	1.09E+01	1.15E+01	6.07E+00	1.26E+01	7.38E+00	1.17E+01	1.08E+01
PD4120a	2.82E+01	1.42E+01	3.02E+01	3.42E+01	2.34E+01	1.59E+01	2.22E+01	2.34E+01
PD4198a	6.28E+00	2.00E+01	3.14E+01	3.02E+00	1.87E+01	9.90E+00	2.18E+01	2.87E+01
PD3904a	7.38E+00	3.23E+01	2.74E+01	1.52E+01	3.29E+01	2.02E+01	1.82E+01	1.71E+01
PD3945a	9.51E+00	6.22E+01	4.54E+01	3.31E+01	6.41E+01	2.84E+01	4.56E+01	1.24E+01
PD4107a	7.81E+00	7.27E+01	4.76E+01	6.06E+00	5.95E+01	4.42E+01	3.03E+01	2.00E+01
PD3905a	3.44E+00	1.93E+01	1.27E+01	1.03E+01	1.83E+01	1.16E+01	1.10E+01	8.52E+00
PD4192a	6.08E+00	4.40E+00	1.33E+01	1.77E+01	1.73E+01	1.78E+01	1.90E+01	1.88E+01
PD4109a	1.47E+01	3.78E+01	6.02E+01	3.73E+01	3.41E+01	1.66E+01	4.69E+01	5.05E+01
PD4103a	6.75E+00	1.13E+01	4.07E+01	9.59E+00	2.58E+01	3.21E+00	2.29E+01	3.88E+01
PD4115a	3.56E+00	5.79E+01	3.80E+01	2.31E+01	5.52E+01	3.06E+01	3.03E+01	1.85E+01
PD4085a	1.01E+00	8.87E+00	1.54E+01	3.22E+00	1.06E+01	5.28E+00	1.06E+01	1.47E+01
PD3890a	6.65E+00	3.10E+01	2.39E+01	2.24E+01	3.28E+01	2.25E+01	1.86E+01	1.10E+01
PD4006a	1.11E+00	5.58E+01	2.92E+01	1.83E+01	3.56E+01	3.57E+01	2.26E+01	1.91E+01
PD4088a	2.90E+00	6.59E+00	2.02E+01	4.66E+00	5.18E+00	3.51E+00	4.99E+00	1.92E+01
