Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
PD4199a	4885	539	0	0	0	0	40	0	1468
PD4005a	1593	1577	865	2069	0	0	0	0	0
PD3851a	35	18	221	0	0	318	387	71	732
PD4116a	600	4292	0	1602	0	503	250	762	17
PD4086a	440	0	0	509	237	118	222	223	450
PD4194a	223	0	0	155	0	0	188	42	876
PD4248a	66	0	0	0	606	0	844	589	431
PD4120a	67678	351	0	1564	0	229	0	522	346
PD4198a	474	83	994	0	0	173	0	2352	476
PD3904a	509	1778	673	583	0	0	2015	0	50
PD3945a	407	4606	649	0	3551	0	0	1095	0
PD4107a	782	2823	1380	0	0	3092	2214	0	0
PD3905a	414	375	0	0	2517	878	0	0	403
PD4192a	423	0	0	957	0	1108	0	468	963
PD4109a	765	191	3957	2805	0	0	0	2170	0
PD4103a	921	0	2899	26	0	0	677	242	595
PD4115a	0	1885	1146	0	3811	1239	1488	336	49
PD4085a	0	284	763	0	147	53	255	531	640
PD3890a	230	0	0	1691	1086	883	2124	105	5
PD4006a	16	3571	465	1362	0	3279	0	139	362
PD4088a	83	0	1262	11	0	0	0	0	349
