Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
PD4199a	5.42E+00	9.48E+00	1.79E+01	8.18E+00	1.17E+01	4.19E+00	1.06E+01	7.51E+00	1.60E+01
PD4005a	6.68E+00	2.30E+01	2.00E+01	1.76E+01	2.68E+01	1.42E+01	1.70E+01	4.58E+00	1.09E+01
PD3851a	1.36E+00	5.88E+00	1.08E+01	2.29E+00	4.64E+00	5.92E+00	7.89E+00	6.88E+00	8.44E+00
PD4116a	9.25E+00	4.19E+01	1.64E+01	2.47E+01	4.15E+01	2.65E+01	3.55E+01	2.73E+01	1.34E+01
PD4086a	2.95E+00	6.76E+00	7.72E+00	8.02E+00	9.63E+00	4.59E+00	7.36E+00	7.20E+00	7.87E+00
PD4194a	2.72E+00	3.96E+00	9.05E+00	5.33E+00	7.49E+00	1.95E+00	6.91E+00	6.89E+00	8.28E+00
PD4248a	3.17E+00	1.18E+01	1.17E+01	6.81E+00	1.23E+01	7.23E+00	1.34E+01	1.19E+01	1.07E+01
PD4120a	2.79E+01	1.29E+01	2.87E+01	3.40E+01	2.45E+01	1.60E+01	2.33E+01	2.14E+01	2.34E+01
PD4198a	6.75E+00	1.88E+01	3.15E+01	4.27E+00	1.61E+01	1.06E+01	1.95E+01	2.30E+01	2.69E+01
PD3904a	9.29E+00	3.54E+01	2.60E+01	1.65E+01	2.98E+01	1.95E+01	3.26E+01	1.35E+01	1.47E+01
PD3945a	9.76E+00	6.92E+01	3.98E+01	3.18E+01	7.66E+01	3.23E+01	5.62E+01	4.46E+01	1.19E+01
PD4107a	1.05E+01	6.58E+01	4.29E+01	1.03E+01	3.87E+01	4.64E+01	5.30E+01	2.46E+01	1.69E+01
PD3905a	3.93E+00	1.94E+01	1.18E+01	1.22E+01	1.93E+01	1.21E+01	1.47E+01	1.06E+01	9.30E+00
PD4192a	5.85E+00	4.76E+00	1.27E+01	1.83E+01	2.23E+01	2.04E+01	1.38E+01	1.77E+01	1.98E+01
PD4109a	1.60E+01	2.92E+01	6.28E+01	4.15E+01	5.40E+01	1.60E+01	3.46E+01	4.59E+01	4.37E+01
PD4103a	8.31E+00	1.15E+01	3.90E+01	1.17E+01	1.75E+01	4.48E+00	3.14E+01	2.19E+01	3.56E+01
PD4115a	3.93E+00	5.90E+01	3.58E+01	2.63E+01	5.91E+01	3.72E+01	5.05E+01	2.65E+01	1.94E+01
PD4085a	8.51E-01	9.81E+00	1.56E+01	3.00E+00	8.57E+00	5.59E+00	1.12E+01	1.05E+01	1.50E+01
PD3890a	7.30E+00	2.98E+01	2.08E+01	2.60E+01	3.91E+01	2.30E+01	3.01E+01	1.80E+01	1.05E+01
PD4006a	1.31E+00	5.62E+01	2.90E+01	2.27E+01	4.40E+01	3.91E+01	2.97E+01	2.01E+01	2.00E+01
PD4088a	2.96E+00	6.42E+00	2.05E+01	4.78E+00	7.80E+00	2.97E+00	5.60E+00	4.11E+00	1.95E+01
