NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	531.705	11.791	74.871	11.828	0.016	0.979	100000.0
2	547.311	11.884	77.629	11.858	0.016	0.979	130000.0
3	545.944	11.883	76.515	11.785	0.016	0.979	130000.0
4	537.426	11.642	75.407	11.482	0.016	0.98	120000.0
5	541.158	11.455	76.593	11.351	0.015	0.98	140000.0
6	559.948	12.09	79.814	12.085	0.016	0.978	140000.0
7	546.968	12.099	78.358	11.972	0.017	0.979	110000.0
8	522.449	11.631	74.73	11.565	0.016	0.98	90000.0
9	533.55	11.939	75.319	11.788	0.016	0.979	110000.0
10	520.426	11.617	74.542	11.832	0.016	0.978	130000.0
11	538.216	11.685	76.845	11.519	0.016	0.98	100000.0
12	545.216	11.394	76.546	11.263	0.014	0.981	160000.0
13	528.516	11.419	74.612	11.321	0.015	0.981	180000.0
14	536.448	11.611	75.222	11.499	0.015	0.98	230000.0
15	556.726	12.271	77.503	11.938	0.017	0.979	130000.0
16	559.422	12.445	78.884	12.451	0.017	0.976	220000.0
17	539.47	11.729	75.408	11.671	0.016	0.979	120000.0
18	555.47	12.049	80.619	11.894	0.016	0.979	170000.0
19	532.965	11.899	75.5	11.871	0.016	0.978	190000.0
20	531.339	11.822	75.283	11.682	0.016	0.98	70000.0
21	540.223	11.876	76.274	11.731	0.016	0.979	130000.0
22	531.639	11.625	74.975	11.492	0.016	0.98	160000.0
23	520.384	11.309	72.366	11.055	0.015	0.982	130000.0
24	527.67	11.584	72.75	11.491	0.016	0.98	50000.0
25	542.811	11.695	77.053	11.601	0.016	0.98	80000.0
26	536.127	11.608	77.643	11.721	0.015	0.98	110000.0
27	512.034	11.434	71.071	11.279	0.015	0.98	90000.0
28	518.32	11.087	74.479	11.165	0.015	0.981	110000.0
29	503.564	11.475	70.485	11.239	0.016	0.981	290000.0
30	534.757	11.819	74.268	11.589	0.016	0.98	100000.0
31	545.635	11.673	77.216	11.698	0.015	0.979	170000.0
32	549.835	11.893	76.217	11.559	0.016	0.98	110000.0
33	549.783	11.81	78.631	11.882	0.015	0.978	100000.0
34	552.059	12.003	77.408	11.769	0.017	0.979	140000.0
35	530.983	11.754	73.947	11.584	0.016	0.979	90000.0
36	521.66	11.436	75.285	11.196	0.016	0.982	110000.0
37	542.88	11.886	78.586	12.069	0.016	0.978	110000.0
38	533.075	11.147	74.43	10.956	0.014	0.982	130000.0
39	539.438	11.749	76.837	11.659	0.016	0.979	80000.0
40	536.26	11.72	76.312	11.782	0.016	0.979	140000.0
41	508.847	11.161	71.989	11.206	0.015	0.981	200000.0
42	543.946	12.207	77.639	12.207	0.017	0.977	70000.0
43	534.53	11.734	75.6	11.666	0.016	0.979	110000.0
44	541.957	11.678	77.336	11.903	0.015	0.978	130000.0
45	543.222	11.713	77.549	11.649	0.016	0.98	130000.0
46	536.651	11.652	76.753	11.708	0.015	0.98	80000.0
47	567.695	12.561	81.003	12.649	0.018	0.976	80000.0
48	539.305	11.997	76.034	11.856	0.017	0.978	90000.0
49	557.988	11.91	79.68	11.865	0.016	0.979	170000.0
50	524.919	11.477	73.953	11.291	0.015	0.981	140000.0
51	515.282	11.57	71.244	11.468	0.016	0.979	130000.0
52	526.886	11.656	75.715	11.661	0.016	0.98	190000.0
53	550.021	12.184	79.658	12.192	0.017	0.977	110000.0
54	540.666	12.105	77.768	11.99	0.017	0.979	130000.0
55	564.953	11.949	83.464	11.985	0.015	0.979	150000.0
56	528.344	11.4	74.786	11.341	0.015	0.981	110000.0
57	566.144	11.795	80.076	11.646	0.015	0.98	100000.0
58	530.62	11.763	75.05	11.749	0.016	0.979	150000.0
59	538.89	11.569	78.404	11.557	0.015	0.981	190000.0
60	526.749	11.622	74.316	11.305	0.016	0.98	130000.0
61	536.941	11.624	75.845	11.484	0.015	0.979	100000.0
62	530.888	11.669	74.741	11.765	0.016	0.979	170000.0
63	534.044	11.797	76.576	11.87	0.016	0.978	120000.0
64	520.576	11.593	73.089	11.445	0.015	0.98	170000.0
65	545.696	12.179	77.548	12.222	0.017	0.977	120000.0
66	563.822	12.224	81.052	12.355	0.016	0.976	80000.0
67	536.314	11.616	76.567	11.768	0.015	0.979	140000.0
68	532.107	11.899	75.91	11.778	0.017	0.98	290000.0
69	525.711	11.553	73.419	11.261	0.016	0.981	120000.0
70	553.314	12.122	78.423	12.142	0.017	0.977	140000.0
71	567.769	11.961	79.454	11.856	0.016	0.979	140000.0
72	547.597	12.114	78.598	12.197	0.017	0.978	150000.0
73	563.817	11.975	80.079	11.7	0.015	0.981	120000.0
74	555.013	11.917	76.711	11.614	0.016	0.98	280000.0
75	551.795	11.966	79.154	12.111	0.016	0.978	170000.0
76	550.109	11.682	80.029	11.774	0.014	0.98	120000.0
77	525.699	11.415	73.442	11.108	0.015	0.982	160000.0
78	498.382	11.257	71.081	11.188	0.015	0.981	170000.0
79	532.211	11.861	75.18	11.586	0.017	0.98	210000.0
80	528.988	11.629	74.604	11.511	0.015	0.981	60000.0
81	541.607	11.955	78.619	11.893	0.016	0.979	100000.0
82	528.147	11.462	75.623	11.575	0.015	0.98	180000.0
83	537.11	11.894	76.372	11.915	0.016	0.979	90000.0
84	540.193	11.949	78.141	11.937	0.016	0.979	150000.0
85	536.269	11.859	75.346	11.609	0.016	0.98	180000.0
86	553.513	11.761	79.388	11.599	0.015	0.98	160000.0
87	549.438	11.856	77.309	11.783	0.015	0.979	190000.0
88	548.091	11.919	78.293	11.894	0.016	0.979	140000.0
89	543.011	11.775	77.259	11.649	0.016	0.98	80000.0
90	536.82	11.791	75.609	11.67	0.016	0.978	110000.0
91	507.848	11.517	72.661	11.54	0.016	0.979	140000.0
92	546.087	11.829	75.593	11.694	0.016	0.979	180000.0
93	547.649	12.015	77.67	11.873	0.016	0.979	200000.0
94	528.514	11.587	75.234	11.497	0.016	0.98	170000.0
95	528.766	11.374	73.874	11.312	0.015	0.98	190000.0
96	535.814	11.924	75.565	11.722	0.016	0.979	130000.0
97	533.7	11.942	74.589	11.953	0.016	0.978	110000.0
98	540.434	11.954	76.288	11.834	0.016	0.979	140000.0
99	546.6	11.764	78.212	11.755	0.015	0.98	130000.0
100	516.91	11.271	76.058	11.528	0.015	0.98	60000.0
101	528.206	11.489	73.776	11.274	0.015	0.981	130000.0
102	520.595	11.582	74.162	11.338	0.016	0.981	80000.0
103	551.295	11.877	77.58	11.779	0.017	0.978	120000.0
104	563.393	11.833	79.889	11.635	0.015	0.98	150000.0
105	550.219	11.971	77.803	11.826	0.016	0.979	130000.0
106	527.935	11.603	75.107	11.609	0.016	0.98	100000.0
107	535.798	11.92	77.286	11.827	0.017	0.979	110000.0
108	534.265	11.376	76.301	11.273	0.014	0.981	200000.0
109	556.281	11.881	82.158	12.049	0.016	0.978	100000.0
110	560.349	12.243	78.515	12.152	0.017	0.977	110000.0
111	528.847	11.926	75.077	11.96	0.017	0.977	70000.0
112	532.397	11.758	75.752	11.568	0.015	0.98	90000.0
113	522.211	11.147	77.227	11.251	0.014	0.982	140000.0
114	537.723	11.842	76.682	11.718	0.017	0.979	90000.0
115	536.22	11.766	76.794	11.674	0.016	0.979	190000.0
116	523.348	11.424	75.383	11.487	0.015	0.98	120000.0
117	531.003	11.718	77.502	11.702	0.016	0.98	90000.0
118	529.0	11.874	74.602	11.756	0.016	0.979	160000.0
119	529.243	11.872	76.304	11.84	0.016	0.978	220000.0
120	560.516	12.154	80.814	12.186	0.016	0.978	120000.0
121	548.291	11.9	77.319	11.763	0.016	0.98	200000.0
122	537.484	11.997	77.718	12.078	0.016	0.977	70000.0
123	535.885	11.595	77.064	11.539	0.015	0.98	100000.0
124	562.206	11.924	77.848	11.642	0.016	0.979	80000.0
125	507.198	11.231	70.407	11.198	0.015	0.981	80000.0
126	528.38	11.549	73.037	11.241	0.016	0.981	90000.0
127	514.925	11.611	71.073	11.465	0.016	0.98	90000.0
128	546.049	11.965	77.649	11.915	0.016	0.979	190000.0
129	544.115	11.945	78.369	11.721	0.016	0.98	110000.0
130	563.045	12.138	79.248	11.956	0.017	0.978	110000.0
131	534.702	11.96	76.676	12.073	0.017	0.978	90000.0
132	547.6	11.796	77.884	11.856	0.016	0.978	70000.0
133	548.491	11.909	78.355	11.913	0.016	0.979	130000.0
134	525.741	11.654	75.644	11.62	0.015	0.98	280000.0
135	524.222	11.644	76.193	11.737	0.017	0.979	110000.0
136	548.284	11.943	79.305	11.868	0.016	0.979	160000.0
137	528.344	11.711	74.366	11.711	0.016	0.979	160000.0
138	550.095	11.859	76.494	11.643	0.016	0.979	130000.0
139	523.958	11.599	73.267	11.417	0.015	0.98	130000.0
140	530.87	11.344	74.731	11.24	0.015	0.981	140000.0
141	546.879	11.956	76.751	12.092	0.016	0.978	170000.0
142	535.181	11.922	76.064	11.733	0.016	0.979	100000.0
143	504.37	11.616	70.512	11.386	0.016	0.98	170000.0
144	546.176	11.943	77.492	11.883	0.016	0.978	190000.0
145	542.644	11.867	75.91	11.583	0.016	0.98	90000.0
146	519.748	11.611	74.206	11.531	0.015	0.98	140000.0
147	548.677	11.796	81.235	11.857	0.016	0.98	90000.0
148	519.025	11.73	72.649	11.609	0.016	0.979	90000.0
149	549.944	11.77	77.478	11.645	0.016	0.98	150000.0
150	544.729	11.796	77.528	11.589	0.016	0.98	110000.0
151	551.639	12.023	79.874	12.005	0.016	0.978	160000.0
152	550.928	11.852	79.443	11.895	0.015	0.979	90000.0
153	546.159	11.613	78.476	11.66	0.015	0.98	140000.0
154	531.658	11.663	75.848	11.791	0.015	0.978	160000.0
155	519.863	11.5	73.728	11.295	0.015	0.98	110000.0
156	523.523	11.514	74.542	11.567	0.016	0.979	220000.0
157	539.198	11.644	76.354	11.578	0.015	0.98	60000.0
158	519.219	11.573	74.469	11.47	0.016	0.98	150000.0
159	537.444	11.673	75.41	11.615	0.016	0.98	140000.0
160	542.488	11.88	76.116	11.893	0.016	0.978	100000.0
161	524.619	11.847	76.503	11.884	0.017	0.978	90000.0
162	535.597	11.482	76.479	11.656	0.015	0.979	160000.0
163	531.881	11.85	74.872	11.584	0.016	0.979	130000.0
164	538.597	11.383	76.018	11.272	0.015	0.981	180000.0
165	547.485	11.853	78.868	11.79	0.016	0.979	220000.0
166	554.634	11.806	79.372	11.812	0.015	0.98	130000.0
167	541.197	11.739	77.046	11.608	0.015	0.98	180000.0
168	527.795	11.609	73.845	11.348	0.016	0.98	140000.0
169	526.541	11.433	73.291	11.36	0.015	0.98	100000.0
170	564.575	11.863	79.733	11.515	0.016	0.981	140000.0
171	538.406	11.874	77.589	11.965	0.017	0.978	70000.0
172	550.266	12.028	78.541	12.089	0.016	0.978	150000.0
173	521.746	11.573	73.265	11.474	0.015	0.98	110000.0
174	549.891	11.611	78.119	11.632	0.015	0.979	100000.0
175	531.483	11.536	75.968	11.598	0.015	0.98	160000.0
176	531.081	11.511	76.809	11.556	0.015	0.98	140000.0
177	525.315	11.47	74.709	11.432	0.015	0.979	230000.0
178	536.019	12.175	75.627	12.043	0.017	0.978	70000.0
179	528.494	11.917	75.427	11.793	0.017	0.978	120000.0
180	546.816	12.082	76.603	11.859	0.017	0.979	190000.0
181	557.419	11.98	78.319	11.856	0.016	0.979	160000.0
182	542.19	11.609	78.342	11.65	0.015	0.98	140000.0
183	544.958	11.97	80.511	12.016	0.016	0.979	100000.0
184	565.381	12.042	81.733	12.105	0.016	0.979	100000.0
185	547.858	12.265	78.059	12.215	0.017	0.978	120000.0
186	532.59	11.36	74.14	11.271	0.014	0.98	170000.0
187	540.557	11.844	76.272	11.709	0.016	0.979	140000.0
188	542.431	11.699	78.341	11.691	0.015	0.979	110000.0
189	549.805	12.146	77.546	11.932	0.016	0.978	170000.0
